Team,FG%,3P%,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS
Golden State Warriors*,0.503,0.391,0.56,20.3,0.815,8.4,35.1,29.3,8,7.5,15.5,113.5
Houston Rockets*,0.46,0.362,0.558,25.1,0.781,9,34.5,21.5,8.5,4.8,13.8,112.4
New Orleans Pelicans*,0.483,0.362,0.54,20.9,0.772,8.7,35.7,26.8,8,5.9,14.9,111.7
Toronto Raptors*,0.472,0.358,0.541,21.8,0.794,9.8,34.2,24.3,7.6,6.1,13.4,111.7
Cleveland Cavaliers*,0.476,0.372,0.54,23.3,0.779,8.5,33.7,23.4,7.1,3.8,13.7,110.9
Denver Nuggets,0.47,0.371,0.525,22.4,0.766,11,33.5,25.1,7.6,4.9,15,110
Philadelphia 76ers*,0.472,0.369,0.526,22.8,0.752,10.9,36.5,27.1,8.3,5.1,16.5,109.8
Minnesota Timberwolves*,0.476,0.357,0.519,24.1,0.804,10.3,31.6,22.7,8.4,4.2,12.5,109.5
Los Angeles Clippers,0.471,0.354,0.525,25.5,0.743,10.1,33.7,22.3,7.6,4.5,14.7,109
Charlotte Hornets,0.45,0.369,0.487,27,0.747,10.1,35.4,21.6,6.8,4.5,12.7,108.2
Los Angeles Lakers,0.461,0.345,0.517,23.3,0.714,10.7,35.7,23.8,7.7,4.7,15.8,108.1
Oklahoma City Thunder*,0.453,0.354,0.505,24.2,0.715,12.5,32.6,21.3,9.1,5,14,107.9
Washington Wizards*,0.467,0.375,0.508,21.8,0.772,10,33.1,25.2,7.9,4.3,14.6,106.6
Brooklyn Nets,0.441,0.356,0.5,22.6,0.772,9.7,34.8,23.7,6.2,4.8,15.2,106.6
Milwaukee Bucks*,0.478,0.355,0.531,23.4,0.782,8.4,31.5,23.2,8.8,5.4,13.8,106.5
Portland Trail Blazers*,0.452,0.366,0.493,20.9,0.8,10.2,35.3,19.5,7,5.2,13.5,105.6
Indiana Pacers*,0.472,0.369,0.513,19.2,0.779,9.6,32.7,22.2,8.8,4.1,13.3,105.6
New York Knicks,0.463,0.352,0.504,19,0.787,10.5,33.6,23.3,6.7,5.1,14.7,104.5
Utah Jazz*,0.462,0.366,0.515,21.5,0.779,9,34.2,22.4,8.6,5.1,14.7,104.1
Boston Celtics*,0.45,0.377,0.491,20.7,0.771,9.4,35.1,22.5,7.4,4.6,14,104
Phoenix Suns,0.442,0.334,0.492,23.9,0.74,10.3,33.9,21.3,6.9,4.5,15.7,103.9
Detroit Pistons,0.45,0.373,0.488,19.8,0.745,10.1,33.6,22.8,7.7,3.9,13.5,103.8
Miami Heat*,0.455,0.36,0.508,19.5,0.755,9.3,34.2,22.7,7.6,5.3,14.4,103.4
Orlando Magic,0.452,0.351,0.504,20.5,0.757,8.8,32.8,23.4,7.6,4.9,14.5,103.4
Atlanta Hawks,0.446,0.36,0.495,20.2,0.785,9,32.8,23.7,7.8,4.2,15.6,103.4
Chicago Bulls,0.435,0.355,0.478,19.2,0.758,9.6,35,23.5,7.6,3.5,14,102.9
San Antonio Spurs*,0.457,0.352,0.499,20.9,0.772,10.4,33.9,22.8,7.7,5.6,13.1,102.7
Dallas Mavericks,0.444,0.36,0.496,18.7,0.763,8.1,33.1,22.7,7,3.8,12.3,102.3
Memphis Grizzlies,0.444,0.352,0.486,21.1,0.786,9.5,31,21.5,7.5,4.8,15,99.3
Sacramento Kings,0.45,0.375,0.479,16.7,0.735,9.5,31.4,21.6,7.8,4.1,13.7,98.8
